"Notes"	"Age of Infant at Death"	"Age of Infant at Death Code"	"Cause of death"	"Cause of death Code"	Deaths	Births	Death Rate
	"Under 1 hour"	"01"	"Other specified diseases of liver"	"K76.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified diseases of pancreas"	"K86.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Decubitus ulcer"	"L89"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Ankylosis of joint"	"M24.6"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified necrotizing vasculopathies"	"M31.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other secondary scoliosis"	"M41.5"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Scoliosis, unspecified"	"M41.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Spondylopathy, unspecified"	"M48.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Osteoporosis, unspecified"	"M81.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified disorders of cartilage"	"M94.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Acquired deformity of musculoskeletal system, unspecified"	"M95.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Nephrotic syndrome, unspecified"	"N04.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Unspecified nephritic syndrome, unspecified"	"N05.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Tubulo-interstitial nephritis, not specified as acute or chronic"	"N12"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Obstructive and reflux uropathy, unspecified"	"N13.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Chronic kidney disease, stage 5"	"N18.5"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Unspecified renal failure"	"N19"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disorder of kidney and ureter, unspecified"	"N28.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Cystitis, unspecified"	"N30.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Bladder-neck obstruction"	"N32.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified disorders of urethra"	"N36.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Inflammatory disease of uterus, unspecified"	"N71.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Acute vaginitis"	"N76.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Haematometra"	"N85.7"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified noninflammatory disorders of uterus"	"N85.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	237	40445070	0.01
	"Under 1 hour"	"01"	"Newborn affected by maternal renal and urinary tract diseases"	"P00.1"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by maternal infectious and parasitic diseases"	"P00.2"	44	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by other maternal circulatory and respiratory diseases"	"P00.3"	19	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by maternal nutritional disorders"	"P00.4"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by maternal injury"	"P00.5"	69	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by surgical procedure on mother"	"P00.6"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by other medical procedures on mother, not elsewhere classified"	"P00.7"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by other maternal conditions"	"P00.8"	96	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by unspecified maternal condition"	"P00.9"	23	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by incompetent cervix"	"P01.0"	1834	40445070	0.05
	"Under 1 hour"	"01"	"Newborn affected by premature rupture of membranes"	"P01.1"	3061	40445070	0.08
	"Under 1 hour"	"01"	"Newborn affected by oligohydramnios"	"P01.2"	287	40445070	0.01
	"Under 1 hour"	"01"	"Newborn affected by polyhydramnios"	"P01.3"	41	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by ectopic pregnancy"	"P01.4"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by multiple pregnancy"	"P01.5"	525	40445070	0.01
	"Under 1 hour"	"01"	"Newborn affected by maternal death"	"P01.6"	13	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by malpresentation before labour"	"P01.7"	10	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	269	40445070	0.01
	"Under 1 hour"	"01"	"Newborn affected by maternal complication of pregnancy, unspecified"	"P01.9"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by placenta praevia"	"P02.0"	64	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	1461	40445070	0.04
	"Under 1 hour"	"01"	"Newborn affected by other and unspecified morphological and functional abnormalities of placenta"	"P02.2"	73	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by placental transfusion syndromes"	"P02.3"	223	40445070	0.01
	"Under 1 hour"	"01"	"Newborn affected by prolapsed cord"	"P02.4"	64	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by other compression of umbilical cord"	"P02.5"	53	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by other and unspecified conditions of umbilical cord"	"P02.6"	26	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by chorioamnionitis"	"P02.7"	1770	40445070	0.04
	"Under 1 hour"	"01"	"Newborn affected by other abnormalities of membranes"	"P02.8"	5	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by breech delivery and extraction"	"P03.0"	26	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by other malpresentation, malposition and disproportion during labour and delivery"	"P03.1"	22	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by caesarean delivery"	"P03.4"	5	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by precipitate delivery"	"P03.5"	21	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by abnormal uterine contractions"	"P03.6"	26	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by other specified complications of labour and delivery"	"P03.8"	124	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	211	40445070	0.01
	"Under 1 hour"	"01"	"Newborn affected by other maternal medication"	"P04.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Newborn affected by maternal use of tobacco"	"P04.2"	41	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by maternal use of drugs of addiction"	"P04.4"	68	40445070	0.00
	"Under 1 hour"	"01"	"Newborn affected by maternal noxious influence, unspecified"	"P04.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Light for gestational age"	"P05.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Small for gestational age"	"P05.1"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Slow fetal growth, unspecified"	"P05.9"	107	40445070	0.00
	"Under 1 hour"	"01"	"Extremely low birth weight"	"P07.0"	139	40445070	0.00
	"Under 1 hour"	"01"	"Other low birth weight"	"P07.1"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Extreme immaturity"	"P07.2"	10528	40445070	0.26
	"Under 1 hour"	"01"	"Other preterm infants"	"P07.3"	3615	40445070	0.09
	"Under 1 hour"	"01"	"Post-term infant, not heavy for gestational age"	"P08.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Cerebral haemorrhage due to birth injury"	"P10.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Unspecified brain damage due to birth injury"	"P11.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified birth injuries"	"P15.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Birth injury, unspecified"	"P15.9"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Intrauterine hypoxia, unspecified"	"P20.9"	95	40445070	0.00
	"Under 1 hour"	"01"	"Severe birth asphyxia"	"P21.0"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Birth asphyxia, unspecified"	"P21.9"	276	40445070	0.01
	"Under 1 hour"	"01"	"Respiratory distress syndrome of newborn"	"P22.0"	195	40445070	0.00
	"Under 1 hour"	"01"	"Respiratory distress of newborn, unspecified"	"P22.9"	83	40445070	0.00
	"Under 1 hour"	"01"	"Congenital pneumonia due to Chlamydia"	"P23.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Congenital pneumonia due to other bacterial agents"	"P23.6"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Congenital pneumonia, unspecified"	"P23.9"	12	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal aspiration of meconium"	"P24.0"	64	40445070	0.00
	"Under 1 hour"	"01"	"Neonatal aspiration of amniotic fluid and mucus"	"P24.1"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal aspiration syndrome, unspecified"	"P24.9"	7	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Pneumothorax originating in the perinatal period"	"P25.1"	41	40445070	0.00
	"Under 1 hour"	"01"	"Pneumopericardium originating in the perinatal period"	"P25.3"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Massive pulmonary haemorrhage originating in the perinatal period"	"P26.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other pulmonary haemorrhages originating in the perinatal period"	"P26.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	13	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Wilson-Mikity syndrome"	"P27.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Primary atelectasis of newborn"	"P28.0"	558	40445070	0.01
	"Under 1 hour"	"01"	"Other and unspecified atelectasis of newborn"	"P28.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other apnoea of newborn"	"P28.4"	28	40445070	0.00
	"Under 1 hour"	"01"	"Respiratory failure of newborn"	"P28.5"	67	40445070	0.00
	"Under 1 hour"	"01"	"Other specified respiratory conditions of newborn"	"P28.8"	16	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Respiratory condition of newborn, unspecified"	"P28.9"	14	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal cardiac failure"	"P29.0"	677	40445070	0.02
	"Under 1 hour"	"01"	"Neonatal cardiac dysrhythmia"	"P29.1"	1202	40445070	0.03
	"Under 1 hour"	"01"	"Neonatal hypertension"	"P29.2"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Persistent fetal circulation"	"P29.3"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other cardiovascular disorders originating in the perinatal period"	"P29.8"	30	40445070	0.00
	"Under 1 hour"	"01"	"Cardiovascular disorder originating in the perinatal period, unspecified"	"P29.9"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Congenital cytomegalovirus infection"	"P35.1"	9	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other congenital viral diseases"	"P35.8"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Sepsis of newborn due to streptococcus, group B"	"P36.0"	7	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Sepsis of newborn due to other and unspecified streptococci"	"P36.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Sepsis of newborn due to Escherichia coli"	"P36.4"	5	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	165	40445070	0.00
	"Under 1 hour"	"01"	"Neonatal (disseminated) listeriosis"	"P37.2"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal candidiasis"	"P37.5"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Omphalitis of newborn with or without mild haemorrhage"	"P38"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Intra-amniotic infection of fetus, not elsewhere classified"	"P39.2"	16	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal urinary tract infection"	"P39.3"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified infections specific to the perinatal period"	"P39.8"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Infection specific to the perinatal period, unspecified"	"P39.9"	129	40445070	0.00
	"Under 1 hour"	"01"	"Fetal blood loss from vasa praevia"	"P50.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Fetal blood loss from ruptured cord"	"P50.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Haemorrhage into maternal circulation"	"P50.4"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Fetal blood loss, unspecified"	"P50.9"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Umbilical haemorrhage of newborn, unspecified"	"P51.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Intraventricular (nontraumatic) haemorrhage, grade 3, of newborn"	"P52.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	13	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Intracerebral (nontraumatic) haemorrhage of newborn"	"P52.4"	5	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Subarachnoid (nontraumatic) haemorrhage of newborn"	"P52.5"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Intracranial (nontraumatic) haemorrhage of newborn, unspecified"	"P52.9"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Haemorrhagic disease of newborn"	"P53"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other neonatal gastrointestinal haemorrhage"	"P54.3"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal vaginal haemorrhage"	"P54.6"	9	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified neonatal haemorrhages"	"P54.8"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal haemorrhage, unspecified"	"P54.9"	29	40445070	0.00
	"Under 1 hour"	"01"	"Rh isoimmunization of newborn"	"P55.0"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Haemolytic disease of newborn, unspecified"	"P55.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Hydrops fetalis due to isoimmunization"	"P56.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal jaundice due to other specified excessive haemolysis"	"P58.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disseminated intravascular coagulation of newborn"	"P60"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Transient neonatal thrombocytopenia"	"P61.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Anaemia of prematurity"	"P61.2"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Congenital anaemia from fetal blood loss"	"P61.3"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other congenital anaemias, not elsewhere classified"	"P61.4"	22	40445070	0.00
	"Under 1 hour"	"01"	"Other transient neonatal disorders of coagulation"	"P61.6"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Syndrome of infant of mother with gestational diabetes"	"P70.0"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Syndrome of infant of a diabetic mother"	"P70.1"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neonatal diabetes mellitus"	"P70.2"	5	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Meconium plug syndrome"	"P76.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Necrotizing enterocolitis of newborn"	"P77"	2	40445070	0.00 (Unreliable)
