"Notes"	"Age of Mother"	"Age of Mother Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"15-19 years"	"15-19"	"Pennsylvania"	"42"	"Unidentified Counties, PA"	"42999"	20	2199	9.10
	"15-19 years"	"15-19"	"South Carolina"	"45"	"Unidentified Counties, SC"	"45999"	21	2354	8.92
	"15-19 years"	"15-19"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	10	1089	9.18 (Unreliable)
	"15-19 years"	"15-19"	"Tennessee"	"47"	"Unidentified Counties, TN"	"47999"	21	3393	6.19
	"15-19 years"	"15-19"	"Texas"	"48"	"Bexar County, TX"	"48029"	12	2028	5.92 (Unreliable)
	"15-19 years"	"15-19"	"Texas"	"48"	"Dallas County, TX"	"48113"	27	3007	8.98
	"15-19 years"	"15-19"	"Texas"	"48"	"Harris County, TX"	"48201"	35	4792	7.30
	"15-19 years"	"15-19"	"Texas"	"48"	"Hidalgo County, TX"	"48215"	10	1693	5.91 (Unreliable)
	"15-19 years"	"15-19"	"Texas"	"48"	"Tarrant County, TX"	"48439"	22	1781	12.35
	"15-19 years"	"15-19"	"Texas"	"48"	"Unidentified Counties, TX"	"48999"	64	9104	7.03
	"15-19 years"	"15-19"	"Virginia"	"51"	"Unidentified Counties, VA"	"51999"	30	3065	9.79
	"15-19 years"	"15-19"	"Washington"	"53"	"Unidentified Counties, WA"	"53999"	10	1597	6.26 (Unreliable)
	"15-19 years"	"15-19"	"West Virginia"	"54"	"Unidentified Counties, WV"	"54999"	12	1555	7.72 (Unreliable)
	"15-19 years"	"15-19"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	10	877	11.40 (Unreliable)
	"15-19 years"	"15-19"	"Wisconsin"	"55"	"Unidentified Counties, WI"	"55999"	18	1742	10.33 (Unreliable)
	"20-24 years"	"20-24"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	24	1886	12.73
	"20-24 years"	"20-24"	"Alabama"	"01"	"Mobile County, AL"	"01097"	17	1586	10.72 (Unreliable)
	"20-24 years"	"20-24"	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	117	11707	9.99
	"20-24 years"	"20-24"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	74	11983	6.18
	"20-24 years"	"20-24"	"Arizona"	"04"	"Pima County, AZ"	"04019"	13	2674	4.86 (Unreliable)
	"20-24 years"	"20-24"	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	19	4061	4.68 (Unreliable)
	"20-24 years"	"20-24"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	13	1377	9.44 (Unreliable)
	"20-24 years"	"20-24"	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	85	9772	8.70
	"20-24 years"	"20-24"	"California"	"06"	"Fresno County, CA"	"06019"	12	3490	3.44 (Unreliable)
	"20-24 years"	"20-24"	"California"	"06"	"Kern County, CA"	"06029"	24	3523	6.81
	"20-24 years"	"20-24"	"California"	"06"	"Los Angeles County, CA"	"06037"	100	20235	4.94
	"20-24 years"	"20-24"	"California"	"06"	"Orange County, CA"	"06059"	13	4679	2.78 (Unreliable)
	"20-24 years"	"20-24"	"California"	"06"	"Riverside County, CA"	"06065"	29	6589	4.40
	"20-24 years"	"20-24"	"California"	"06"	"Sacramento County, CA"	"06067"	21	3585	5.86
	"20-24 years"	"20-24"	"California"	"06"	"San Bernardino County, CA"	"06071"	43	7135	6.03
	"20-24 years"	"20-24"	"California"	"06"	"San Diego County, CA"	"06073"	33	7288	4.53
	"20-24 years"	"20-24"	"California"	"06"	"Stanislaus County, CA"	"06099"	11	1756	6.26 (Unreliable)
	"20-24 years"	"20-24"	"California"	"06"	"Tulare County, CA"	"06107"	14	1838	7.62 (Unreliable)
	"20-24 years"	"20-24"	"California"	"06"	"Unidentified Counties, CA"	"06999"	42	6432	6.53
	"20-24 years"	"20-24"	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	10	1265	7.91 (Unreliable)
	"20-24 years"	"20-24"	"Colorado"	"08"	"Denver County, CO"	"08031"	10	1544	6.48 (Unreliable)
	"20-24 years"	"20-24"	"Colorado"	"08"	"El Paso County, CO"	"08041"	15	2226	6.74 (Unreliable)
	"20-24 years"	"20-24"	"Colorado"	"08"	"Unidentified Counties, CO"	"08999"	14	2812	4.98 (Unreliable)
	"20-24 years"	"20-24"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	12	1377	8.71 (Unreliable)
	"20-24 years"	"20-24"	"Delaware"	"10"	"New Castle County, DE"	"10003"	20	1059	18.89
	"20-24 years"	"20-24"	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	21	1592	13.19
	"20-24 years"	"20-24"	"Florida"	"12"	"Broward County, FL"	"12011"	17	3489	4.87 (Unreliable)
	"20-24 years"	"20-24"	"Florida"	"12"	"Duval County, FL"	"12031"	31	3036	10.21
	"20-24 years"	"20-24"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	36	3620	9.94
	"20-24 years"	"20-24"	"Florida"	"12"	"Lee County, FL"	"12071"	11	1509	7.29 (Unreliable)
	"20-24 years"	"20-24"	"Florida"	"12"	"Marion County, FL"	"12083"	15	970	15.46 (Unreliable)
	"20-24 years"	"20-24"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	38	5267	7.21
	"20-24 years"	"20-24"	"Florida"	"12"	"Orange County, FL"	"12095"	20	3171	6.31
	"20-24 years"	"20-24"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	23	2462	9.34
	"20-24 years"	"20-24"	"Florida"	"12"	"Pinellas County, FL"	"12103"	13	1698	7.66 (Unreliable)
	"20-24 years"	"20-24"	"Florida"	"12"	"Polk County, FL"	"12105"	14	2089	6.70 (Unreliable)
	"20-24 years"	"20-24"	"Florida"	"12"	"Volusia County, FL"	"12127"	11	1197	9.19 (Unreliable)
	"20-24 years"	"20-24"	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	59	8278	7.13
	"20-24 years"	"20-24"	"Georgia"	"13"	"Chatham County, GA"	"13051"	11	917	12.00 (Unreliable)
	"20-24 years"	"20-24"	"Georgia"	"13"	"Clayton County, GA"	"13063"	14	1015	13.79 (Unreliable)
	"20-24 years"	"20-24"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	20	1941	10.30
	"20-24 years"	"20-24"	"Georgia"	"13"	"Fulton County, GA"	"13121"	31	2289	13.54
	"20-24 years"	"20-24"	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	13	1929	6.74 (Unreliable)
	"20-24 years"	"20-24"	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	177	20651	8.57
	"20-24 years"	"20-24"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	14	2516	5.56 (Unreliable)
	"20-24 years"	"20-24"	"Idaho"	"16"	"Unidentified Counties, ID"	"16999"	37	4768	7.76
	"20-24 years"	"20-24"	"Illinois"	"17"	"Cook County, IL"	"17031"	98	11141	8.80
	"20-24 years"	"20-24"	"Illinois"	"17"	"Winnebago County, IL"	"17201"	10	943	10.60 (Unreliable)
	"20-24 years"	"20-24"	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	80	9526	8.40
	"20-24 years"	"20-24"	"Indiana"	"18"	"Lake County, IN"	"18089"	10	1307	7.65 (Unreliable)
	"20-24 years"	"20-24"	"Indiana"	"18"	"Marion County, IN"	"18097"	41	3455	11.87
	"20-24 years"	"20-24"	"Indiana"	"18"	"Unidentified Counties, IN"	"18999"	105	13120	8.00
	"20-24 years"	"20-24"	"Iowa"	"19"	"Polk County, IA"	"19153"	13	1251	10.39 (Unreliable)
	"20-24 years"	"20-24"	"Iowa"	"19"	"Unidentified Counties, IA"	"19999"	44	6916	6.36
	"20-24 years"	"20-24"	"Kansas"	"20"	"Sedgwick County, KS"	"20173"	22	1762	12.49
	"20-24 years"	"20-24"	"Kansas"	"20"	"Unidentified Counties, KS"	"20999"	39	6179	6.31
	"20-24 years"	"20-24"	"Kentucky"	"21"	"Unidentified Counties, KY"	"21999"	106	12025	8.81
	"20-24 years"	"20-24"	"Louisiana"	"22"	"Caddo Parish, LA"	"22017"	12	976	12.30 (Unreliable)
	"20-24 years"	"20-24"	"Louisiana"	"22"	"East Baton Rouge Parish, LA"	"22033"	23	1480	15.54
	"20-24 years"	"20-24"	"Louisiana"	"22"	"Unidentified Counties, LA"	"22999"	98	12219	8.02
	"20-24 years"	"20-24"	"Maine"	"23"	"Unidentified Counties, ME"	"23999"	11	2203	4.99 (Unreliable)
	"20-24 years"	"20-24"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	10	1465	6.83 (Unreliable)
	"20-24 years"	"20-24"	"Maryland"	"24"	"Montgomery County, MD"	"24031"	11	1242	8.86 (Unreliable)
	"20-24 years"	"20-24"	"Maryland"	"24"	"Prince George's County, MD"	"24033"	18	2220	8.11 (Unreliable)
	"20-24 years"	"20-24"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	15	2010	7.46 (Unreliable)
	"20-24 years"	"20-24"	"Maryland"	"24"	"Unidentified Counties, MD"	"24999"	31	3449	8.99
	"20-24 years"	"20-24"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	12	1270	9.45 (Unreliable)
	"20-24 years"	"20-24"	"Michigan"	"26"	"Genesee County, MI"	"26049"	14	1386	10.10 (Unreliable)
	"20-24 years"	"20-24"	"Michigan"	"26"	"Kent County, MI"	"26081"	13	1674	7.77 (Unreliable)
	"20-24 years"	"20-24"	"Michigan"	"26"	"Oakland County, MI"	"26125"	17	1703	9.98 (Unreliable)
	"20-24 years"	"20-24"	"Michigan"	"26"	"Wayne County, MI"	"26163"	52	5787	8.99
	"20-24 years"	"20-24"	"Michigan"	"26"	"Unidentified Counties, MI"	"26999"	69	9757	7.07
	"20-24 years"	"20-24"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	23	1846	12.46
	"20-24 years"	"20-24"	"Minnesota"	"27"	"Unidentified Counties, MN"	"27999"	36	6016	5.98
	"20-24 years"	"20-24"	"Mississippi"	"28"	"Unidentified Counties, MS"	"28999"	123	11473	10.72
	"20-24 years"	"20-24"	"Missouri"	"29"	"Jackson County, MO"	"29095"	22	2181	10.09
	"20-24 years"	"20-24"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	12	1899	6.32 (Unreliable)
	"20-24 years"	"20-24"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	12	1031	11.64 (Unreliable)
	"20-24 years"	"20-24"	"Missouri"	"29"	"Unidentified Counties, MO"	"29999"	108	11046	9.78
	"20-24 years"	"20-24"	"Montana"	"30"	"Unidentified Counties, MT"	"30999"	20	2707	7.39
	"20-24 years"	"20-24"	"Nebraska"	"31"	"Unidentified Counties, NE"	"31999"	19	2879	6.60 (Unreliable)
	"20-24 years"	"20-24"	"Nevada"	"32"	"Clark County, NV"	"32003"	43	6000	7.17
	"20-24 years"	"20-24"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	17	1692	10.05 (Unreliable)
	"20-24 years"	"20-24"	"New Jersey"	"34"	"Unidentified Counties, NJ"	"34999"	13	1105	11.76 (Unreliable)
	"20-24 years"	"20-24"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	18	1689	10.66 (Unreliable)
	"20-24 years"	"20-24"	"New Mexico"	"35"	"Unidentified Counties, NM"	"35999"	24	4838	4.96
	"20-24 years"	"20-24"	"New York"	"36"	"Bronx County, NY"	"36005"	18	4384	4.11 (Unreliable)
	"20-24 years"	"20-24"	"New York"	"36"	"Erie County, NY"	"36029"	16	1669	9.59 (Unreliable)
	"20-24 years"	"20-24"	"New York"	"36"	"Kings County, NY"	"36047"	23	7280	3.16
	"20-24 years"	"20-24"	"New York"	"36"	"Monroe County, NY"	"36055"	11	1311	8.39 (Unreliable)
	"20-24 years"	"20-24"	"New York"	"36"	"Onondaga County, NY"	"36067"	13	929	13.99 (Unreliable)
	"20-24 years"	"20-24"	"New York"	"36"	"Queens County, NY"	"36081"	21	3991	5.26
	"20-24 years"	"20-24"	"New York"	"36"	"Unidentified Counties, NY"	"36999"	55	8660	6.35
	"20-24 years"	"20-24"	"North Carolina"	"37"	"Cumberland County, NC"	"37051"	13	1761	7.38 (Unreliable)
	"20-24 years"	"20-24"	"North Carolina"	"37"	"Forsyth County, NC"	"37067"	10	903	11.07 (Unreliable)
	"20-24 years"	"20-24"	"North Carolina"	"37"	"Guilford County, NC"	"37081"	11	1297	8.48 (Unreliable)
	"20-24 years"	"20-24"	"North Carolina"	"37"	"Mecklenburg County, NC"	"37119"	24	2314	10.37
	"20-24 years"	"20-24"	"North Carolina"	"37"	"Wake County, NC"	"37183"	14	1508	9.28 (Unreliable)
	"20-24 years"	"20-24"	"North Carolina"	"37"	"Unidentified Counties, NC"	"37999"	158	18499	8.54
	"20-24 years"	"20-24"	"North Dakota"	"38"	"Unidentified Counties, ND"	"38999"	12	2322	5.17 (Unreliable)
	"20-24 years"	"20-24"	"Ohio"	"39"	"Cuyahoga County, OH"	"39035"	39	3207	12.16
	"20-24 years"	"20-24"	"Ohio"	"39"	"Franklin County, OH"	"39049"	44	3503	12.56
	"20-24 years"	"20-24"	"Ohio"	"39"	"Hamilton County, OH"	"39061"	19	2129	8.92 (Unreliable)
	"20-24 years"	"20-24"	"Ohio"	"39"	"Lucas County, OH"	"39095"	15	1382	10.85 (Unreliable)
	"20-24 years"	"20-24"	"Ohio"	"39"	"Summit County, OH"	"39153"	13	1247	10.43 (Unreliable)
	"20-24 years"	"20-24"	"Ohio"	"39"	"Unidentified Counties, OH"	"39999"	121	15480	7.82
	"20-24 years"	"20-24"	"Oklahoma"	"40"	"Oklahoma County, OK"	"40109"	30	2841	10.56
	"20-24 years"	"20-24"	"Oklahoma"	"40"	"Tulsa County, OK"	"40143"	29	2310	12.55
	"20-24 years"	"20-24"	"Oklahoma"	"40"	"Unidentified Counties, OK"	"40999"	62	8504	7.29
	"20-24 years"	"20-24"	"Oregon"	"41"	"Unidentified Counties, OR"	"41999"	26	3930	6.62
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	16	1809	8.84 (Unreliable)
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"Lancaster County, PA"	"42071"	11	1459	7.54 (Unreliable)
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"Philadelphia County, PA"	"42101"	53	4658	11.38
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"Unidentified Counties, PA"	"42999"	65	9304	6.99
	"20-24 years"	"20-24"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	10	1240	8.06 (Unreliable)
	"20-24 years"	"20-24"	"South Carolina"	"45"	"Unidentified Counties, SC"	"45999"	81	8183	9.90
	"20-24 years"	"20-24"	"South Dakota"	"46"	"Unidentified Counties, SD"	"46999"	15	2616	5.73 (Unreliable)
	"20-24 years"	"20-24"	"Tennessee"	"47"	"Davidson County, TN"	"47037"	25	1764	14.17
	"20-24 years"	"20-24"	"Tennessee"	"47"	"Hamilton County, TN"	"47065"	14	939	14.91 (Unreliable)
	"20-24 years"	"20-24"	"Tennessee"	"47"	"Knox County, TN"	"47093"	12	1038	11.56 (Unreliable)
	"20-24 years"	"20-24"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	32	3356	9.54
	"20-24 years"	"20-24"	"Tennessee"	"47"	"Unidentified Counties, TN"	"47999"	93	12528	7.42
	"20-24 years"	"20-24"	"Texas"	"48"	"Bell County, TX"	"48027"	21	1955	10.74
	"20-24 years"	"20-24"	"Texas"	"48"	"Bexar County, TX"	"48029"	38	6723	5.65
	"20-24 years"	"20-24"	"Texas"	"48"	"Dallas County, TX"	"48113"	52	9018	5.77
	"20-24 years"	"20-24"	"Texas"	"48"	"El Paso County, TX"	"48141"	10	3942	2.54 (Unreliable)
	"20-24 years"	"20-24"	"Texas"	"48"	"Harris County, TX"	"48201"	109	15192	7.17
	"20-24 years"	"20-24"	"Texas"	"48"	"Hidalgo County, TX"	"48215"	19	4270	4.45 (Unreliable)
	"20-24 years"	"20-24"	"Texas"	"48"	"Jefferson County, TX"	"48245"	12	1039	11.55 (Unreliable)
	"20-24 years"	"20-24"	"Texas"	"48"	"Montgomery County, TX"	"48339"	18	1530	11.76 (Unreliable)
	"20-24 years"	"20-24"	"Texas"	"48"	"Nueces County, TX"	"48355"	12	1285	9.34 (Unreliable)
	"20-24 years"	"20-24"	"Texas"	"48"	"Tarrant County, TX"	"48439"	33	6121	5.39
	"20-24 years"	"20-24"	"Texas"	"48"	"Travis County, TX"	"48453"	12	2471	4.86 (Unreliable)
	"20-24 years"	"20-24"	"Texas"	"48"	"Unidentified Counties, TX"	"48999"	186	28088	6.62
	"20-24 years"	"20-24"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	13	3305	3.93 (Unreliable)
	"20-24 years"	"20-24"	"Utah"	"49"	"Utah County, UT"	"49049"	15	2531	5.93 (Unreliable)
	"20-24 years"	"20-24"	"Utah"	"49"	"Unidentified Counties, UT"	"49999"	18	3745	4.81 (Unreliable)
	"20-24 years"	"20-24"	"Virginia"	"51"	"Unidentified Counties, VA"	"51999"	102	13632	7.48
	"20-24 years"	"20-24"	"Washington"	"53"	"King County, WA"	"53033"	18	2423	7.43 (Unreliable)
	"20-24 years"	"20-24"	"Washington"	"53"	"Pierce County, WA"	"53053"	12	2563	4.68 (Unreliable)
	"20-24 years"	"20-24"	"Washington"	"53"	"Unidentified Counties, WA"	"53999"	34	5619	6.05
	"20-24 years"	"20-24"	"West Virginia"	"54"	"Unidentified Counties, WV"	"54999"	45	5541	8.12
	"20-24 years"	"20-24"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	27	3006	8.98
	"20-24 years"	"20-24"	"Wisconsin"	"55"	"Unidentified Counties, WI"	"55999"	49	7988	6.13
	"20-24 years"	"20-24"	"Wyoming"	"56"	"Unidentified Counties, WY"	"56999"	11	1760	6.25 (Unreliable)
	"25-29 years"	"25-29"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	26	2650	9.81
	"25-29 years"	"25-29"	"Alabama"	"01"	"Madison County, AL"	"01089"	10	1360	7.35 (Unreliable)
	"25-29 years"	"25-29"	"Alabama"	"01"	"Mobile County, AL"	"01097"	12	1751	6.85 (Unreliable)
	"25-29 years"	"25-29"	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	97	12888	7.53
	"25-29 years"	"25-29"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	80	16024	4.99
	"25-29 years"	"25-29"	"Arizona"	"04"	"Pima County, AZ"	"04019"	17	3486	4.88 (Unreliable)
	"25-29 years"	"25-29"	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	28	4447	6.30
	"25-29 years"	"25-29"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	18	1579	11.40 (Unreliable)
	"25-29 years"	"25-29"	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	78	10303	7.57
	"25-29 years"	"25-29"	"California"	"06"	"Alameda County, CA"	"06001"	24	4421	5.43
	"25-29 years"	"25-29"	"California"	"06"	"Fresno County, CA"	"06019"	28	4593	6.10
	"25-29 years"	"25-29"	"California"	"06"	"Kern County, CA"	"06029"	18	4135	4.35 (Unreliable)
	"25-29 years"	"25-29"	"California"	"06"	"Los Angeles County, CA"	"06037"	122	31434	3.88
	"25-29 years"	"25-29"	"California"	"06"	"Orange County, CA"	"06059"	27	9341	2.89
	"25-29 years"	"25-29"	"California"	"06"	"Riverside County, CA"	"06065"	39	9100	4.29
	"25-29 years"	"25-29"	"California"	"06"	"Sacramento County, CA"	"06067"	16	5721	2.80 (Unreliable)
	"25-29 years"	"25-29"	"California"	"06"	"San Bernardino County, CA"	"06071"	57	9409	6.06
	"25-29 years"	"25-29"	"California"	"06"	"San Diego County, CA"	"06073"	40	11262	3.55
	"25-29 years"	"25-29"	"California"	"06"	"San Joaquin County, CA"	"06077"	17	3157	5.38 (Unreliable)
	"25-29 years"	"25-29"	"California"	"06"	"Santa Clara County, CA"	"06085"	18	5155	3.49 (Unreliable)
	"25-29 years"	"25-29"	"California"	"06"	"Solano County, CA"	"06095"	14	1542	9.08 (Unreliable)
	"25-29 years"	"25-29"	"California"	"06"	"Stanislaus County, CA"	"06099"	14	2437	5.74 (Unreliable)
	"25-29 years"	"25-29"	"California"	"06"	"Unidentified Counties, CA"	"06999"	35	9060	3.86
	"25-29 years"	"25-29"	"Colorado"	"08"	"Adams County, CO"	"08001"	11	2000	5.50 (Unreliable)
	"25-29 years"	"25-29"	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	13	2229	5.83 (Unreliable)
	"25-29 years"	"25-29"	"Colorado"	"08"	"Denver County, CO"	"08031"	11	2402	4.58 (Unreliable)
	"25-29 years"	"25-29"	"Colorado"	"08"	"El Paso County, CO"	"08041"	11	2985	3.69 (Unreliable)
	"25-29 years"	"25-29"	"Colorado"	"08"	"Unidentified Counties, CO"	"08999"	14	3707	3.78 (Unreliable)
	"25-29 years"	"25-29"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	15	2593	5.78 (Unreliable)
	"25-29 years"	"25-29"	"Connecticut"	"09"	"Unidentified Counties, CT"	"09999"	11	1373	8.01 (Unreliable)
	"25-29 years"	"25-29"	"Delaware"	"10"	"New Castle County, DE"	"10003"	19	1869	10.17 (Unreliable)
	"25-29 years"	"25-29"	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	13	2086	6.23 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Broward County, FL"	"12011"	37	6194	5.97
	"25-29 years"	"25-29"	"Florida"	"12"	"Duval County, FL"	"12031"	32	4151	7.71
	"25-29 years"	"25-29"	"Florida"	"12"	"Escambia County, FL"	"12033"	10	1267	7.89 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	40	5093	7.85
	"25-29 years"	"25-29"	"Florida"	"12"	"Lee County, FL"	"12071"	13	2003	6.49 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Marion County, FL"	"12083"	12	1120	10.71 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	44	9219	4.77
	"25-29 years"	"25-29"	"Florida"	"12"	"Orange County, FL"	"12095"	37	4793	7.72
	"25-29 years"	"25-29"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	17	4151	4.10 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Pinellas County, FL"	"12103"	15	2398	6.26 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Polk County, FL"	"12105"	13	2459	5.29 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Volusia County, FL"	"12127"	10	1643	6.09 (Unreliable)
	"25-29 years"	"25-29"	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	51	10365	4.92
	"25-29 years"	"25-29"	"Georgia"	"13"	"Clayton County, GA"	"13063"	10	1165	8.58 (Unreliable)
	"25-29 years"	"25-29"	"Georgia"	"13"	"Cobb County, GA"	"13067"	13	2596	5.01 (Unreliable)
	"25-29 years"	"25-29"	"Georgia"	"13"	"Fulton County, GA"	"13121"	16	3337	4.79 (Unreliable)
	"25-29 years"	"25-29"	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	20	3050	6.56
	"25-29 years"	"25-29"	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	170	23800	7.14
	"25-29 years"	"25-29"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	17	3685	4.61 (Unreliable)
	"25-29 years"	"25-29"	"Hawaii"	"15"	"Unidentified Counties, HI"	"15999"	10	1421	7.04 (Unreliable)
	"25-29 years"	"25-29"	"Idaho"	"16"	"Unidentified Counties, ID"	"16999"	28	5634	4.97
