"Notes"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Births	Death Rate
	"Los Angeles County, CA"	"06037"	"American Indian or Alaska Native"	"1002-5"	17	4097	4.15 (Unreliable)
	"Los Angeles County, CA"	"06037"	"Asian or Pacific Islander"	"A-PI"	719	194901	3.69
	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	1020	110973	9.19
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	4301	1031366	4.17
	"Marin County, CA"	"06041"	"White"	"2106-3"	13	6026	2.16 (Unreliable)
	"Merced County, CA"	"06047"	"White"	"2106-3"	41	10905	3.76
	"Monterey County, CA"	"06053"	"Asian or Pacific Islander"	"A-PI"	22	3324	6.62
	"Monterey County, CA"	"06053"	"White"	"2106-3"	292	63078	4.63
	"Orange County, CA"	"06059"	"Asian or Pacific Islander"	"A-PI"	241	80872	2.98
	"Orange County, CA"	"06059"	"Black or African American"	"2054-5"	45	5899	7.63
	"Orange County, CA"	"06059"	"White"	"2106-3"	1181	305276	3.87
	"Placer County, CA"	"06061"	"White"	"2106-3"	40	9697	4.12
	"Riverside County, CA"	"06065"	"American Indian or Alaska Native"	"1002-5"	14	2811	4.98 (Unreliable)
	"Riverside County, CA"	"06065"	"Asian or Pacific Islander"	"A-PI"	82	20903	3.92
	"Riverside County, CA"	"06065"	"Black or African American"	"2054-5"	197	20301	9.70
	"Riverside County, CA"	"06065"	"White"	"2106-3"	1249	267943	4.66
	"Sacramento County, CA"	"06067"	"American Indian or Alaska Native"	"1002-5"	12	2336	5.14 (Unreliable)
	"Sacramento County, CA"	"06067"	"Asian or Pacific Islander"	"A-PI"	181	38363	4.72
	"Sacramento County, CA"	"06067"	"Black or African American"	"2054-5"	248	26466	9.37
	"Sacramento County, CA"	"06067"	"White"	"2106-3"	619	134720	4.59
	"San Bernardino County, CA"	"06071"	"American Indian or Alaska Native"	"1002-5"	19	2219	8.56 (Unreliable)
	"San Bernardino County, CA"	"06071"	"Asian or Pacific Islander"	"A-PI"	106	23110	4.59
	"San Bernardino County, CA"	"06071"	"Black or African American"	"2054-5"	350	30885	11.33
	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	1479	260488	5.68
	"San Diego County, CA"	"06073"	"American Indian or Alaska Native"	"1002-5"	20	2961	6.75
	"San Diego County, CA"	"06073"	"Asian or Pacific Islander"	"A-PI"	260	56682	4.59
	"San Diego County, CA"	"06073"	"Black or African American"	"2054-5"	218	25710	8.48
	"San Diego County, CA"	"06073"	"White"	"2106-3"	1421	361775	3.93
	"San Francisco County, CA"	"06075"	"Asian or Pacific Islander"	"A-PI"	83	29845	2.78
	"San Francisco County, CA"	"06075"	"Black or African American"	"2054-5"	61	5343	11.42
	"San Francisco County, CA"	"06075"	"White"	"2106-3"	164	54255	3.02
	"San Joaquin County, CA"	"06077"	"Asian or Pacific Islander"	"A-PI"	88	17249	5.10
	"San Joaquin County, CA"	"06077"	"Black or African American"	"2054-5"	118	9192	12.84
	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	402	77560	5.18
	"San Luis Obispo County, CA"	"06079"	"White"	"2106-3"	35	7337	4.77
	"San Mateo County, CA"	"06081"	"Asian or Pacific Islander"	"A-PI"	92	31443	2.93
	"San Mateo County, CA"	"06081"	"Black or African American"	"2054-5"	14	2079	6.73 (Unreliable)
	"San Mateo County, CA"	"06081"	"White"	"2106-3"	177	58790	3.01
	"Santa Barbara County, CA"	"06083"	"White"	"2106-3"	244	54854	4.45
	"Santa Clara County, CA"	"06085"	"Asian or Pacific Islander"	"A-PI"	294	95643	3.07
	"Santa Clara County, CA"	"06085"	"Black or African American"	"2054-5"	37	6110	6.06
	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	484	142371	3.40
	"Santa Cruz County, CA"	"06087"	"White"	"2106-3"	121	29600	4.09
	"Solano County, CA"	"06095"	"Asian or Pacific Islander"	"A-PI"	47	8925	5.27
	"Solano County, CA"	"06095"	"Black or African American"	"2054-5"	77	8280	9.30
	"Solano County, CA"	"06095"	"White"	"2106-3"	184	35479	5.19
	"Sonoma County, CA"	"06097"	"Asian or Pacific Islander"	"A-PI"	10	2880	3.47 (Unreliable)
	"Sonoma County, CA"	"06097"	"White"	"2106-3"	177	48373	3.66
	"Stanislaus County, CA"	"06099"	"Asian or Pacific Islander"	"A-PI"	36	5131	7.02
	"Stanislaus County, CA"	"06099"	"Black or African American"	"2054-5"	31	2458	12.61
	"Stanislaus County, CA"	"06099"	"White"	"2106-3"	385	70886	5.43
	"Tulare County, CA"	"06107"	"Asian or Pacific Islander"	"A-PI"	13	2677	4.86 (Unreliable)
	"Tulare County, CA"	"06107"	"Black or African American"	"2054-5"	10	1177	8.50 (Unreliable)
	"Tulare County, CA"	"06107"	"White"	"2106-3"	410	74735	5.49
	"Ventura County, CA"	"06111"	"American Indian or Alaska Native"	"1002-5"	12	1527	7.86 (Unreliable)
	"Ventura County, CA"	"06111"	"Asian or Pacific Islander"	"A-PI"	38	8089	4.70
	"Ventura County, CA"	"06111"	"Black or African American"	"2054-5"	13	1697	7.66 (Unreliable)
	"Ventura County, CA"	"06111"	"White"	"2106-3"	465	97333	4.78
	"Unidentified Counties, CA"	"06999"	"American Indian or Alaska Native"	"1002-5"	70	8938	7.83
	"Unidentified Counties, CA"	"06999"	"Asian or Pacific Islander"	"A-PI"	113	22651	4.99
	"Unidentified Counties, CA"	"06999"	"Black or African American"	"2054-5"	72	8077	8.91
	"Unidentified Counties, CA"	"06999"	"White"	"2106-3"	1715	357335	4.80
	"Adams County, CO"	"08001"	"Asian or Pacific Islander"	"A-PI"	15	3323	4.51 (Unreliable)
	"Adams County, CO"	"08001"	"Black or African American"	"2054-5"	33	2494	13.23
	"Adams County, CO"	"08001"	"White"	"2106-3"	336	62174	5.40
	"Arapahoe County, CO"	"08005"	"Asian or Pacific Islander"	"A-PI"	27	5185	5.21
	"Arapahoe County, CO"	"08005"	"Black or African American"	"2054-5"	115	10333	11.13
	"Arapahoe County, CO"	"08005"	"White"	"2106-3"	329	60958	5.40
	"Boulder County, CO"	"08013"	"White"	"2106-3"	133	27886	4.77
	"Denver County, CO"	"08031"	"Asian or Pacific Islander"	"A-PI"	33	4665	7.07
	"Denver County, CO"	"08031"	"Black or African American"	"2054-5"	128	11713	10.93
	"Denver County, CO"	"08031"	"White"	"2106-3"	455	86327	5.27
	"Douglas County, CO"	"08035"	"White"	"2106-3"	27	9360	2.88
	"El Paso County, CO"	"08041"	"Asian or Pacific Islander"	"A-PI"	18	3973	4.53 (Unreliable)
	"El Paso County, CO"	"08041"	"Black or African American"	"2054-5"	80	7890	10.14
	"El Paso County, CO"	"08041"	"White"	"2106-3"	442	78477	5.63
	"Jefferson County, CO"	"08059"	"White"	"2106-3"	248	54752	4.53
	"Larimer County, CO"	"08069"	"White"	"2106-3"	130	32539	4.00
	"Weld County, CO"	"08123"	"White"	"2106-3"	60	11900	5.04
	"Unidentified Counties, CO"	"08999"	"American Indian or Alaska Native"	"1002-5"	19	3208	5.92 (Unreliable)
	"Unidentified Counties, CO"	"08999"	"Asian or Pacific Islander"	"A-PI"	23	4106	5.60
	"Unidentified Counties, CO"	"08999"	"Black or African American"	"2054-5"	16	2409	6.64 (Unreliable)
	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	882	173536	5.08
	"Fairfield County, CT"	"09001"	"Asian or Pacific Islander"	"A-PI"	23	8054	2.86
	"Fairfield County, CT"	"09001"	"Black or African American"	"2054-5"	157	14933	10.51
	"Fairfield County, CT"	"09001"	"White"	"2106-3"	291	81588	3.57
	"Hartford County, CT"	"09003"	"Asian or Pacific Islander"	"A-PI"	28	6848	4.09
	"Hartford County, CT"	"09003"	"Black or African American"	"2054-5"	197	17434	11.30
	"Hartford County, CT"	"09003"	"White"	"2106-3"	380	71876	5.29
	"New Haven County, CT"	"09009"	"Asian or Pacific Islander"	"A-PI"	31	5053	6.13
	"New Haven County, CT"	"09009"	"Black or African American"	"2054-5"	172	16351	10.52
	"New Haven County, CT"	"09009"	"White"	"2106-3"	358	71044	5.04
	"New London County, CT"	"09011"	"Black or African American"	"2054-5"	25	2419	10.33
	"New London County, CT"	"09011"	"White"	"2106-3"	117	23453	4.99
	"Unidentified Counties, CT"	"09999"	"Asian or Pacific Islander"	"A-PI"	14	2174	6.44 (Unreliable)
	"Unidentified Counties, CT"	"09999"	"Black or African American"	"2054-5"	21	2221	9.46
	"Unidentified Counties, CT"	"09999"	"White"	"2106-3"	206	49045	4.20
	"New Castle County, DE"	"10003"	"Asian or Pacific Islander"	"A-PI"	20	4951	4.04
	"New Castle County, DE"	"10003"	"Black or African American"	"2054-5"	304	20615	14.75
	"New Castle County, DE"	"10003"	"White"	"2106-3"	271	42578	6.36
	"Unidentified Counties, DE"	"10999"	"Black or African American"	"2054-5"	105	10853	9.67
	"Unidentified Counties, DE"	"10999"	"White"	"2106-3"	183	33364	5.48
	"District of Columbia, DC"	"11001"	"Asian or Pacific Islander"	"A-PI"	18	4494	4.01 (Unreliable)
	"District of Columbia, DC"	"11001"	"Black or African American"	"2054-5"	646	52189	12.38
	"District of Columbia, DC"	"11001"	"White"	"2106-3"	147	36238	4.06
	"Brevard County, FL"	"12009"	"Black or African American"	"2054-5"	102	8280	12.32
	"Brevard County, FL"	"12009"	"White"	"2106-3"	228	42259	5.40
	"Broward County, FL"	"12011"	"Asian or Pacific Islander"	"A-PI"	37	9911	3.73
	"Broward County, FL"	"12011"	"Black or African American"	"2054-5"	762	88131	8.65
	"Broward County, FL"	"12011"	"White"	"2106-3"	450	120356	3.74
	"Collier County, FL"	"12021"	"Black or African American"	"2054-5"	45	4214	10.68
	"Collier County, FL"	"12021"	"White"	"2106-3"	151	29255	5.16
	"Duval County, FL"	"12031"	"Asian or Pacific Islander"	"A-PI"	45	7080	6.36
	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	627	48646	12.89
	"Duval County, FL"	"12031"	"White"	"2106-3"	427	73448	5.81
	"Escambia County, FL"	"12033"	"Black or African American"	"2054-5"	173	12856	13.46
	"Escambia County, FL"	"12033"	"White"	"2106-3"	160	25589	6.25
	"Hillsborough County, FL"	"12057"	"Asian or Pacific Islander"	"A-PI"	40	7710	5.19
	"Hillsborough County, FL"	"12057"	"Black or African American"	"2054-5"	567	38986	14.54
	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	730	122850	5.94
	"Lake County, FL"	"12069"	"Black or African American"	"2054-5"	25	1650	15.15
	"Lake County, FL"	"12069"	"White"	"2106-3"	48	7694	6.24
	"Lee County, FL"	"12071"	"Black or African American"	"2054-5"	133	10116	13.15
	"Lee County, FL"	"12071"	"White"	"2106-3"	269	55226	4.87
	"Leon County, FL"	"12073"	"Black or African American"	"2054-5"	40	3993	10.02
	"Leon County, FL"	"12073"	"White"	"2106-3"	20	4748	4.21
	"Manatee County, FL"	"12081"	"Black or African American"	"2054-5"	76	6059	12.54
	"Manatee County, FL"	"12081"	"White"	"2106-3"	164	28681	5.72
	"Marion County, FL"	"12083"	"Black or African American"	"2054-5"	107	7516	14.24
	"Marion County, FL"	"12083"	"White"	"2106-3"	175	26496	6.60
	"Miami-Dade County, FL"	"12086"	"Asian or Pacific Islander"	"A-PI"	23	5131	4.48
	"Miami-Dade County, FL"	"12086"	"Black or African American"	"2054-5"	760	79387	9.57
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	827	237333	3.48
	"Orange County, FL"	"12095"	"Asian or Pacific Islander"	"A-PI"	37	9283	3.99
	"Orange County, FL"	"12095"	"Black or African American"	"2054-5"	595	52234	11.39
	"Orange County, FL"	"12095"	"White"	"2106-3"	505	98772	5.11
	"Osceola County, FL"	"12097"	"Black or African American"	"2054-5"	14	2179	6.42 (Unreliable)
	"Osceola County, FL"	"12097"	"White"	"2106-3"	51	10020	5.09
	"Palm Beach County, FL"	"12099"	"Asian or Pacific Islander"	"A-PI"	18	5531	3.25 (Unreliable)
	"Palm Beach County, FL"	"12099"	"Black or African American"	"2054-5"	414	46596	8.88
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	340	92904	3.66
	"Pasco County, FL"	"12101"	"Asian or Pacific Islander"	"A-PI"	13	1679	7.74 (Unreliable)
	"Pasco County, FL"	"12101"	"Black or African American"	"2054-5"	31	3670	8.45
	"Pasco County, FL"	"12101"	"White"	"2106-3"	266	44415	5.99
	"Pinellas County, FL"	"12103"	"Asian or Pacific Islander"	"A-PI"	15	4322	3.47 (Unreliable)
	"Pinellas County, FL"	"12103"	"Black or African American"	"2054-5"	243	17577	13.82
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	360	64757	5.56
	"Polk County, FL"	"12105"	"Black or African American"	"2054-5"	196	16254	12.06
	"Polk County, FL"	"12105"	"White"	"2106-3"	371	58193	6.38
	"St. Lucie County, FL"	"12111"	"Black or African American"	"2054-5"	32	2730	11.72
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	19	6134	3.10 (Unreliable)
	"Sarasota County, FL"	"12115"	"Black or African American"	"2054-5"	31	3141	9.87
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	112	25593	4.38
	"Seminole County, FL"	"12117"	"Black or African American"	"2054-5"	97	8264	11.74
	"Seminole County, FL"	"12117"	"White"	"2106-3"	156	34569	4.51
	"Volusia County, FL"	"12127"	"Black or African American"	"2054-5"	105	9009	11.66
	"Volusia County, FL"	"12127"	"White"	"2106-3"	204	38933	5.24
	"Unidentified Counties, FL"	"12999"	"American Indian or Alaska Native"	"1002-5"	13	2033	6.39 (Unreliable)
	"Unidentified Counties, FL"	"12999"	"Asian or Pacific Islander"	"A-PI"	61	11935	5.11
	"Unidentified Counties, FL"	"12999"	"Black or African American"	"2054-5"	954	77295	12.34
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	1888	339724	5.56
	"Chatham County, GA"	"13051"	"Black or African American"	"2054-5"	69	5377	12.83
	"Chatham County, GA"	"13051"	"White"	"2106-3"	28	6296	4.45
	"Clayton County, GA"	"13063"	"Black or African American"	"2054-5"	84	8167	10.29
	"Clayton County, GA"	"13063"	"White"	"2106-3"	13	2488	5.23 (Unreliable)
	"Cobb County, GA"	"13067"	"Asian or Pacific Islander"	"A-PI"	16	6017	2.66 (Unreliable)
	"Cobb County, GA"	"13067"	"Black or African American"	"2054-5"	323	31308	10.32
	"Cobb County, GA"	"13067"	"White"	"2106-3"	277	61226	4.52
	"DeKalb County, GA"	"13089"	"Asian or Pacific Islander"	"A-PI"	31	9522	3.26
	"DeKalb County, GA"	"13089"	"Black or African American"	"2054-5"	576	60868	9.46
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	175	40436	4.33
	"Fulton County, GA"	"13121"	"Asian or Pacific Islander"	"A-PI"	34	10247	3.32
	"Fulton County, GA"	"13121"	"Black or African American"	"2054-5"	726	72941	9.95
	"Fulton County, GA"	"13121"	"White"	"2106-3"	221	55485	3.98
	"Gwinnett County, GA"	"13135"	"Asian or Pacific Islander"	"A-PI"	40	13168	3.04
	"Gwinnett County, GA"	"13135"	"Black or African American"	"2054-5"	329	34313	9.59
	"Gwinnett County, GA"	"13135"	"White"	"2106-3"	326	69529	4.69
	"Unidentified Counties, GA"	"13999"	"American Indian or Alaska Native"	"1002-5"	14	1889	7.41 (Unreliable)
	"Unidentified Counties, GA"	"13999"	"Asian or Pacific Islander"	"A-PI"	91	21980	4.14
	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	3324	280890	11.83
	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	3143	562483	5.59
	"Honolulu County, HI"	"15003"	"Asian or Pacific Islander"	"A-PI"	555	88319	6.28
	"Honolulu County, HI"	"15003"	"Black or African American"	"2054-5"	66	5513	11.97
	"Honolulu County, HI"	"15003"	"White"	"2106-3"	181	40465	4.47
	"Unidentified Counties, HI"	"15999"	"Asian or Pacific Islander"	"A-PI"	197	33772	5.83
	"Unidentified Counties, HI"	"15999"	"White"	"2106-3"	71	19111	3.72
	"Ada County, ID"	"16001"	"White"	"2106-3"	236	48674	4.85
	"Unidentified Counties, ID"	"16999"	"American Indian or Alaska Native"	"1002-5"	40	3975	10.06
	"Unidentified Counties, ID"	"16999"	"Black or African American"	"2054-5"	11	1224	8.99 (Unreliable)
	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	970	172919	5.61
	"Cook County, IL"	"17031"	"Asian or Pacific Islander"	"A-PI"	246	55620	4.42
	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	2480	190720	13.00
	"Cook County, IL"	"17031"	"White"	"2106-3"	2381	474345	5.02
	"DuPage County, IL"	"17043"	"Asian or Pacific Islander"	"A-PI"	60	14742	4.07
	"DuPage County, IL"	"17043"	"Black or African American"	"2054-5"	75	6464	11.60
	"DuPage County, IL"	"17043"	"White"	"2106-3"	382	87592	4.36
	"Kane County, IL"	"17089"	"Asian or Pacific Islander"	"A-PI"	25	3123	8.01
	"Kane County, IL"	"17089"	"Black or African American"	"2054-5"	55	5003	10.99
	"Kane County, IL"	"17089"	"White"	"2106-3"	340	64131	5.30
	"Lake County, IL"	"17097"	"Asian or Pacific Islander"	"A-PI"	30	7082	4.24
	"Lake County, IL"	"17097"	"Black or African American"	"2054-5"	85	7933	10.71
	"Lake County, IL"	"17097"	"White"	"2106-3"	311	68805	4.52
	"McHenry County, IL"	"17111"	"White"	"2106-3"	134	32778	4.09
	"Madison County, IL"	"17119"	"Black or African American"	"2054-5"	58	4124	14.06
	"Madison County, IL"	"17119"	"White"	"2106-3"	130	27325	4.76
	"St. Clair County, IL"	"17163"	"Black or African American"	"2054-5"	160	13777	11.61
	"St. Clair County, IL"	"17163"	"White"	"2106-3"	104	20628	5.04
	"Will County, IL"	"17197"	"Asian or Pacific Islander"	"A-PI"	27	4493	6.01
	"Will County, IL"	"17197"	"Black or African American"	"2054-5"	130	10664	12.19
	"Will County, IL"	"17197"	"White"	"2106-3"	373	69421	5.37
	"Winnebago County, IL"	"17201"	"Black or African American"	"2054-5"	90	7263	12.39
	"Winnebago County, IL"	"17201"	"White"	"2106-3"	159	29485	5.39
	"Unidentified Counties, IL"	"17999"	"Asian or Pacific Islander"	"A-PI"	56	11095	5.05
	"Unidentified Counties, IL"	"17999"	"Black or African American"	"2054-5"	621	43721	14.20
	"Unidentified Counties, IL"	"17999"	"White"	"2106-3"	2269	375850	6.04
	"Allen County, IN"	"18003"	"Asian or Pacific Islander"	"A-PI"	10	2322	4.31 (Unreliable)
	"Allen County, IN"	"18003"	"Black or African American"	"2054-5"	152	8647	17.58
	"Allen County, IN"	"18003"	"White"	"2106-3"	257	41929	6.13
	"Hamilton County, IN"	"18057"	"White"	"2106-3"	50	10301	4.85
	"Lake County, IN"	"18089"	"Black or African American"	"2054-5"	262	20555	12.75
	"Lake County, IN"	"18089"	"White"	"2106-3"	256	40778	6.28
	"Marion County, IN"	"18097"	"Asian or Pacific Islander"	"A-PI"	33	5942	5.55
	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	591	45366	13.03
	"Marion County, IN"	"18097"	"White"	"2106-3"	674	96168	7.01
	"St. Joseph County, IN"	"18141"	"Black or African American"	"2054-5"	109	7068	15.42
	"St. Joseph County, IN"	"18141"	"White"	"2106-3"	188	27722	6.78
	"Unidentified Counties, IN"	"18999"	"Asian or Pacific Islander"	"A-PI"	53	10672	4.97
	"Unidentified Counties, IN"	"18999"	"Black or African American"	"2054-5"	286	22893	12.49
	"Unidentified Counties, IN"	"18999"	"White"	"2106-3"	3273	505564	6.47
	"Polk County, IA"	"19153"	"Asian or Pacific Islander"	"A-PI"	24	3865	6.21
	"Polk County, IA"	"19153"	"Black or African American"	"2054-5"	74	6531	11.33
	"Polk County, IA"	"19153"	"White"	"2106-3"	298	57057	5.22
	"Unidentified Counties, IA"	"19999"	"Asian or Pacific Islander"	"A-PI"	32	8470	3.78
	"Unidentified Counties, IA"	"19999"	"Black or African American"	"2054-5"	160	15503	10.32
	"Unidentified Counties, IA"	"19999"	"White"	"2106-3"	1375	299997	4.58
	"Johnson County, KS"	"20091"	"Asian or Pacific Islander"	"A-PI"	21	4645	4.52
	"Johnson County, KS"	"20091"	"Black or African American"	"2054-5"	53	4485	11.82
	"Johnson County, KS"	"20091"	"White"	"2106-3"	299	65853	4.54
	"Sedgwick County, KS"	"20173"	"Asian or Pacific Islander"	"A-PI"	24	3444	6.97
	"Sedgwick County, KS"	"20173"	"Black or African American"	"2054-5"	147	9541	15.41
	"Sedgwick County, KS"	"20173"	"White"	"2106-3"	407	64582	6.30
	"Unidentified Counties, KS"	"20999"	"American Indian or Alaska Native"	"1002-5"	17	2793	6.09 (Unreliable)
	"Unidentified Counties, KS"	"20999"	"Asian or Pacific Islander"	"A-PI"	22	5867	3.75
	"Unidentified Counties, KS"	"20999"	"Black or African American"	"2054-5"	214	17609	12.15
	"Unidentified Counties, KS"	"20999"	"White"	"2106-3"	1431	221626	6.46
	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	68	6983	9.74
	"Fayette County, KY"	"21067"	"White"	"2106-3"	173	31453	5.50
	"Jefferson County, KY"	"21111"	"Asian or Pacific Islander"	"A-PI"	13	3893	3.34 (Unreliable)
	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	282	27929	10.10
	"Jefferson County, KY"	"21111"	"White"	"2106-3"	358	69862	5.12
	"Unidentified Counties, KY"	"21999"	"Asian or Pacific Islander"	"A-PI"	26	5941	4.38
	"Unidentified Counties, KY"	"21999"	"Black or African American"	"2054-5"	233	20479	11.38
	"Unidentified Counties, KY"	"21999"	"White"	"2106-3"	2676	396125	6.76
	"Caddo Parish, LA"	"22017"	"Black or African American"	"2054-5"	376	22127	16.99
	"Caddo Parish, LA"	"22017"	"White"	"2106-3"	109	15002	7.27
	"East Baton Rouge Parish, LA"	"22033"	"Asian or Pacific Islander"	"A-PI"	15	2288	6.56 (Unreliable)
	"East Baton Rouge Parish, LA"	"22033"	"Black or African American"	"2054-5"	526	35167	14.96
	"East Baton Rouge Parish, LA"	"22033"	"White"	"2106-3"	136	24372	5.58
	"Jefferson Parish, LA"	"22051"	"Asian or Pacific Islander"	"A-PI"	15	3042	4.93 (Unreliable)
	"Jefferson Parish, LA"	"22051"	"Black or African American"	"2054-5"	217	21212	10.23
	"Jefferson Parish, LA"	"22051"	"White"	"2106-3"	168	34433	4.88
	"Orleans Parish, LA"	"22071"	"Black or African American"	"2054-5"	294	31122	9.45
	"Orleans Parish, LA"	"22071"	"White"	"2106-3"	53	14133	3.75
	"Unidentified Counties, LA"	"22999"	"American Indian or Alaska Native"	"1002-5"	27	3656	7.39
	"Unidentified Counties, LA"	"22999"	"Asian or Pacific Islander"	"A-PI"	43	6489	6.63
	"Unidentified Counties, LA"	"22999"	"Black or African American"	"2054-5"	1560	140436	11.11
	"Unidentified Counties, LA"	"22999"	"White"	"2106-3"	1733	282952	6.12
	"Cumberland County, ME"	"23005"	"Black or African American"	"2054-5"	20	2008	9.96
	"Cumberland County, ME"	"23005"	"White"	"2106-3"	135	25118	5.37
	"Unidentified Counties, ME"	"23999"	"Black or African American"	"2054-5"	18	2163	8.32 (Unreliable)
	"Unidentified Counties, ME"	"23999"	"White"	"2106-3"	623	97611	6.38
