"Notes"	"Hispanic Origin"	"Hispanic Origin Code"	"Cause of death"	"Cause of death Code"	Deaths	Births	Death Rate
	"Mexican"	"2148-5"	"Respiratory syncytial virus pneumonia"	"J12.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other viral pneumonia"	"J12.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Viral pneumonia, unspecified"	"J12.9"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Bacterial pneumonia, unspecified"	"J15.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Bronchopneumonia, unspecified"	"J18.0"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Pneumonia, unspecified"	"J18.9"	6	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Acute bronchitis, unspecified"	"J20.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acute bronchiolitis, unspecified"	"J21.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other diseases of pharynx"	"J39.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified diseases of upper respiratory tract"	"J39.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified chronic bronchitis"	"J42"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Adult respiratory distress syndrome"	"J80"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Alveolar and parietoalveolar conditions"	"J84.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Interstitial pulmonary disease, unspecified"	"J84.9"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Abscess of lung with pneumonia"	"J85.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Pyothorax with fistula"	"J86.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Pleural effusion, not elsewhere classified"	"J90"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Pneumothorax, unspecified"	"J93.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Chronic respiratory failure"	"J96.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Respiratory failure, unspecified"	"J96.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Diseases of bronchus, not elsewhere classified"	"J98.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other disorders of lung"	"J98.4"	8	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Other specified respiratory disorders"	"J98.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Gastro-oesophageal reflux disease without oesophagitis"	"K21.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acute appendicitis, other and unspecified"	"K35.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified abdominal hernia without obstruction or gangrene"	"K46.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acute vascular disorders of intestine"	"K55.0"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Vascular disorder of intestine, unspecified"	"K55.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Volvulus"	"K56.2"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other and unspecified intestinal obstruction"	"K56.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Perforation of intestine (nontraumatic)"	"K63.1"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acute and subacute hepatic failure"	"K72.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Hepatic failure, unspecified"	"K72.9"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Other and unspecified cirrhosis of liver"	"K74.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Liver disease, unspecified"	"K76.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Blind loop syndrome, not elsewhere classified"	"K90.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Malabsorption due to intolerance, not elsewhere classified"	"K90.4"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Ischaemic infarction of muscle"	"M62.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Paget disease of bone, unspecified"	"M88.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Chronic kidney disease, stage 5"	"N18.5"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Chronic renal failure, unspecified"	"N18.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified renal failure"	"N19"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Urinary tract infection, site not specified"	"N39.0"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified noninflammatory disorders of vagina"	"N89.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by maternal renal and urinary tract diseases"	"P00.1"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by maternal injury"	"P00.5"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by other maternal conditions"	"P00.8"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by incompetent cervix"	"P01.0"	59	535993	0.11
	"Mexican"	"2148-5"	"Newborn affected by premature rupture of membranes"	"P01.1"	85	535993	0.16
	"Mexican"	"2148-5"	"Newborn affected by oligohydramnios"	"P01.2"	10	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by multiple pregnancy"	"P01.5"	8	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by maternal death"	"P01.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by malpresentation before labour"	"P01.7"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by placenta praevia"	"P02.0"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	26	535993	0.05
	"Mexican"	"2148-5"	"Newborn affected by other and unspecified morphological and functional abnormalities of placenta"	"P02.2"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by placental transfusion syndromes"	"P02.3"	10	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by prolapsed cord"	"P02.4"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by other compression of umbilical cord"	"P02.5"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by other and unspecified conditions of umbilical cord"	"P02.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by chorioamnionitis"	"P02.7"	39	535993	0.07
	"Mexican"	"2148-5"	"Newborn affected by breech delivery and extraction"	"P03.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by other malpresentation, malposition and disproportion during labour and delivery"	"P03.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by other specified complications of labour and delivery"	"P03.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	12	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Newborn affected by maternal use of drugs of addiction"	"P04.4"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Slow fetal growth, unspecified"	"P05.9"	12	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Extremely low birth weight"	"P07.0"	9	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Extreme immaturity"	"P07.2"	333	535993	0.62
	"Mexican"	"2148-5"	"Other preterm infants"	"P07.3"	65	535993	0.12
	"Mexican"	"2148-5"	"Other specified birth injuries"	"P15.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Intrauterine hypoxia, unspecified"	"P20.9"	22	535993	0.04
	"Mexican"	"2148-5"	"Severe birth asphyxia"	"P21.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Birth asphyxia, unspecified"	"P21.9"	16	535993	0.03 (Unreliable)
	"Mexican"	"2148-5"	"Respiratory distress syndrome of newborn"	"P22.0"	45	535993	0.08
	"Mexican"	"2148-5"	"Respiratory distress of newborn, unspecified"	"P22.9"	6	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Congenital pneumonia due to viral agent"	"P23.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Congenital pneumonia due to other bacterial agents"	"P23.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Congenital pneumonia, unspecified"	"P23.9"	7	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Neonatal aspiration of meconium"	"P24.0"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Interstitial emphysema originating in the perinatal period"	"P25.0"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Pneumothorax originating in the perinatal period"	"P25.1"	9	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	19	535993	0.04 (Unreliable)
	"Mexican"	"2148-5"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified chronic respiratory disease originating in the perinatal period"	"P27.9"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Primary atelectasis of newborn"	"P28.0"	32	535993	0.06
	"Mexican"	"2148-5"	"Other apnoea of newborn"	"P28.4"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Respiratory failure of newborn"	"P28.5"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Neonatal cardiac failure"	"P29.0"	46	535993	0.09
	"Mexican"	"2148-5"	"Neonatal cardiac dysrhythmia"	"P29.1"	47	535993	0.09
	"Mexican"	"2148-5"	"Neonatal hypertension"	"P29.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Persistent fetal circulation"	"P29.3"	9	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Other cardiovascular disorders originating in the perinatal period"	"P29.8"	6	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Sepsis of newborn due to streptococcus, group B"	"P36.0"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Sepsis of newborn due to other and unspecified streptococci"	"P36.1"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Sepsis of newborn due to Staphylococcus aureus"	"P36.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Sepsis of newborn due to other and unspecified staphylococci"	"P36.3"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Sepsis of newborn due to Escherichia coli"	"P36.4"	12	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Other bacterial sepsis of newborn"	"P36.8"	8	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	48	535993	0.09
	"Mexican"	"2148-5"	"Neonatal (disseminated) listeriosis"	"P37.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Neonatal candidiasis"	"P37.5"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified congenital infectious and parasitic diseases"	"P37.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Intra-amniotic infection of fetus, not elsewhere classified"	"P39.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified infections specific to the perinatal period"	"P39.8"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Infection specific to the perinatal period, unspecified"	"P39.9"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Haemorrhage into maternal circulation"	"P50.4"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Intraventricular (nontraumatic) haemorrhage, grade 3, of newborn"	"P52.2"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	28	535993	0.05
	"Mexican"	"2148-5"	"Intracerebral (nontraumatic) haemorrhage of newborn"	"P52.4"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Cerebellar (nontraumatic) and posterior fossa haemorrhage of newborn"	"P52.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other intracranial (nontraumatic) haemorrhages of newborn"	"P52.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Intracranial (nontraumatic) haemorrhage of newborn, unspecified"	"P52.9"	6	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Other neonatal gastrointestinal haemorrhage"	"P54.3"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Neonatal haemorrhage, unspecified"	"P54.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Haemolytic disease of newborn, unspecified"	"P55.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Hydrops fetalis due to isoimmunization"	"P56.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Disseminated intravascular coagulation of newborn"	"P60"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Other congenital anaemias, not elsewhere classified"	"P61.4"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Syndrome of infant of a diabetic mother"	"P70.1"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Necrotizing enterocolitis of newborn"	"P77"	39	535993	0.07
	"Mexican"	"2148-5"	"Perinatal intestinal perforation"	"P78.0"	12	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Hydrops fetalis not due to haemolytic disease"	"P83.2"	34	535993	0.06
	"Mexican"	"2148-5"	"Convulsions of newborn"	"P90"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Neonatal cerebral leukomalacia"	"P91.2"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	20	535993	0.04
	"Mexican"	"2148-5"	"Feeding problem of newborn, unspecified"	"P92.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Congenital hypotonia"	"P94.2"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Congenital renal failure"	"P96.0"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Termination of pregnancy, newborn"	"P96.4"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified conditions originating in the perinatal period"	"P96.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Condition originating in the perinatal period, unspecified"	"P96.9"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Anencephaly"	"Q00.0"	64	535993	0.12
	"Mexican"	"2148-5"	"Occipital encephalocele"	"Q01.2"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Encephalocele, unspecified"	"Q01.9"	7	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Microcephaly"	"Q02"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Malformations of aqueduct of Sylvius"	"Q03.0"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Atresia of foramina of Magendie and Luschka"	"Q03.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other congenital hydrocephalus"	"Q03.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Congenital hydrocephalus, unspecified"	"Q03.9"	12	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Holoprosencephaly"	"Q04.2"	14	535993	0.03 (Unreliable)
	"Mexican"	"2148-5"	"Other reduction deformities of brain"	"Q04.3"	8	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Congenital malformation of brain, unspecified"	"Q04.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified spina bifida with hydrocephalus"	"Q05.4"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Thoracic spina bifida without hydrocephalus"	"Q05.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Spina bifida, unspecified"	"Q05.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Congenital malformation of nervous system, unspecified"	"Q07.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Common arterial trunk"	"Q20.0"	9	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Double outlet right ventricle"	"Q20.1"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Discordant ventriculoarterial connection"	"Q20.3"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Double inlet ventricle"	"Q20.4"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Ventricular septal defect"	"Q21.0"	4	535993	0.01 (Unreliable)
