LocationType,Location,Race,TimeFrame,DataFormat,Data
Nation,United States,Hispanic or Latino,2013,Number,63832
Nation,United States,Black or African American,2013,Number,80814
Nation,United States,Asian and Pacific Islander,2013,Number,22148
Nation,United States,American Indian,2013,Number,3435
Nation,United States,Total,2013,Number,315099
Nation,United States,American Indian,2013,Percent,0.075
Nation,United States,Asian and Pacific Islander,2013,Percent,0.083
Nation,United States,Black or African American,2013,Percent,0.128
Nation,United States,Hispanic or Latino,2013,Percent,0.071
Nation,United States,Non-Hispanic White,2013,Percent,0.07
Nation,United States,Total,2013,Percent,0.08
Nation,United States,American Indian,2009,Percent,0.073
Nation,United States,Asian and Pacific Islander,2009,Percent,0.083
Nation,United States,Black or African American,2009,Percent,0.133
Nation,United States,Hispanic or Latino,2009,Percent,0.069
Nation,United States,Non-Hispanic White,2009,Percent,0.072
Nation,United States,Total,2009,Percent,0.082
Nation,United States,Total,2009,Number,336747
Nation,United States,Non-Hispanic White,2009,Number,158954
Nation,United States,Hispanic or Latino,2009,Number,69356
Nation,United States,Black or African American,2009,Number,87360
Nation,United States,Asian and Pacific Islander,2009,Number,20741
Nation,United States,American Indian,2009,Number,3538
Nation,United States,Total,2010,Number,325563
Nation,United States,Non-Hispanic White,2010,Number,154325
Nation,United States,Hispanic or Latino,2010,Number,65868
Nation,United States,Black or African American,2010,Number,83881
Nation,United States,Asian and Pacific Islander,2010,Number,20938
Nation,United States,American Indian,2010,Number,3557
Nation,United States,American Indian,2010,Percent,0.076
Nation,United States,Asian and Pacific Islander,2010,Percent,0.085
Nation,United States,Black or African American,2010,Percent,0.132
Nation,United States,Hispanic or Latino,2010,Percent,0.07
Nation,United States,Non-Hispanic White,2010,Percent,0.071
Nation,United States,Total,2010,Percent,0.081
Nation,United States,American Indian,2015,Percent,0.075
Nation,United States,Asian and Pacific Islander,2015,Percent,0.084
Nation,United States,Black or African American,2015,Percent,0.13
Nation,United States,Hispanic or Latino,2015,Percent,0.072
Nation,United States,Non-Hispanic White,2015,Percent,0.069
Nation,United States,Total,2015,Percent,0.081
Nation,United States,American Indian,2015,Number,3332
Nation,United States,Asian and Pacific Islander,2015,Number,23617
Nation,United States,Black or African American,2015,Number,83316
Nation,United States,Hispanic or Latino,2015,Number,66623
Nation,United States,Non-Hispanic White,2015,Number,147479
Nation,United States,Total,2015,Number,320869
Nation,United States,Non-Hispanic White,2011,Number,152047
Nation,United States,Hispanic or Latino,2011,Number,64449
Nation,United States,Black or African American,2011,Number,82018
Nation,United States,Asian and Pacific Islander,2011,Number,21200
Nation,United States,American Indian,2011,Number,3501
Nation,United States,Total,2011,Number,319711
Nation,United States,American Indian,2011,Percent,0.075
Nation,United States,Asian and Pacific Islander,2011,Percent,0.084
Nation,United States,Black or African American,2011,Percent,0.13
Nation,United States,Hispanic or Latino,2011,Percent,0.07
Nation,United States,Non-Hispanic White,2011,Percent,0.071
Nation,United States,Total,2011,Percent,0.081
Nation,United States,American Indian,2012,Percent,0.076
Nation,United States,Asian and Pacific Islander,2012,Percent,0.082
Nation,United States,Black or African American,2012,Percent,0.128
Nation,United States,Hispanic or Latino,2012,Percent,0.07
Nation,United States,Non-Hispanic White,2012,Percent,0.07
Nation,United States,Total,2012,Percent,0.08
Nation,United States,Total,2012,Number,315709
Nation,United States,Non-Hispanic White,2012,Number,148636
Nation,United States,Hispanic or Latino,2012,Number,63190
Nation,United States,Black or African American,2012,Number,81244
Nation,United States,Asian and Pacific Islander,2012,Number,22388
Nation,United States,American Indian,2012,Number,3504
Nation,United States,Total,2014,Number,318847
Nation,United States,Non-Hispanic White,2014,Number,149574
Nation,United States,Hispanic or Latino,2014,Number,64424
Nation,United States,Black or African American,2014,Number,82108
Nation,United States,Asian and Pacific Islander,2014,Number,22755
Nation,United States,American Indian,2014,Number,3434
Nation,United States,American Indian,2014,Percent,0.076
Nation,United States,Asian and Pacific Islander,2014,Percent,0.081
Nation,United States,Black or African American,2014,Percent,0.128
Nation,United States,Hispanic or Latino,2014,Percent,0.071
Nation,United States,Non-Hispanic White,2014,Percent,0.07
Nation,United States,Total,2014,Percent,0.08
State,Alabama,American Indian,2014,Percent,S
State,Alabama,Asian and Pacific Islander,2014,Percent,0.088
State,Alabama,Black or African American,2014,Percent,0.15
State,Alabama,Hispanic or Latino,2014,Percent,0.073
State,Alabama,Non-Hispanic White,2014,Percent,0.079
State,Alabama,Total,2014,Percent,0.101
State,Alabama,Total,2014,Number,5989
State,Alabama,Non-Hispanic White,2014,Number,2851
State,Alabama,Hispanic or Latino,2014,Number,292
State,Alabama,Black or African American,2014,Number,2760
State,Alabama,Asian and Pacific Islander,2014,Number,108
State,Alabama,American Indian,2014,Number,13
State,Alabama,American Indian,2012,Percent,0.123
State,Alabama,Asian and Pacific Islander,2012,Percent,0.096
State,Alabama,Black or African American,2012,Percent,0.149
State,Alabama,Hispanic or Latino,2012,Percent,0.063
State,Alabama,Non-Hispanic White,2012,Percent,0.079
State,Alabama,Total,2012,Percent,0.1
State,Alabama,American Indian,2012,Number,26
State,Alabama,Total,2012,Number,5853
State,Alabama,Non-Hispanic White,2012,Number,2771
State,Alabama,Hispanic or Latino,2012,Number,248
State,Alabama,Black or African American,2012,Number,2712
State,Alabama,Asian and Pacific Islander,2012,Number,103
State,Alabama,American Indian,2011,Number,22
State,Alabama,Total,2011,Number,5896
State,Alabama,Non-Hispanic White,2011,Number,2812
State,Alabama,Hispanic or Latino,2011,Number,287
State,Alabama,Black or African American,2011,Number,2705
State,Alabama,Asian and Pacific Islander,2011,Number,80
State,Alabama,American Indian,2011,Percent,0.112
State,Alabama,Asian and Pacific Islander,2011,Percent,0.079
State,Alabama,Black or African American,2011,Percent,0.15
State,Alabama,Hispanic or Latino,2011,Percent,0.064
State,Alabama,Non-Hispanic White,2011,Percent,0.079
State,Alabama,Total,2011,Percent,0.099
State,Alabama,American Indian,2015,Number,17
State,Alabama,Asian and Pacific Islander,2015,Number,115
State,Alabama,Black or African American,2015,Number,2906
State,Alabama,Hispanic or Latino,2015,Number,305
State,Alabama,Non-Hispanic White,2015,Number,2892
State,Alabama,Total,2015,Number,6218
State,Alabama,American Indian,2015,Percent,S
State,Alabama,Asian and Pacific Islander,2015,Percent,0.096
State,Alabama,Black or African American,2015,Percent,0.158
State,Alabama,Hispanic or Latino,2015,Percent,0.071
State,Alabama,Non-Hispanic White,2015,Percent,0.081
State,Alabama,Total,2015,Percent,0.104
State,Alabama,American Indian,2010,Percent,S
State,Alabama,Asian and Pacific Islander,2010,Percent,0.087
State,Alabama,Black or African American,2010,Percent,0.15
State,Alabama,Hispanic or Latino,2010,Percent,0.064
State,Alabama,Non-Hispanic White,2010,Percent,0.084
State,Alabama,Total,2010,Percent,0.103
State,Alabama,Non-Hispanic White,2009,Number,3088
State,Alabama,Hispanic or Latino,2009,Number,310
State,Alabama,Black or African American,2009,Number,2949
State,Alabama,Asian and Pacific Islander,2009,Number,89
State,Alabama,American Indian,2009,Number,22
State,Alabama,Total,2009,Number,6454
State,Alabama,Total,2010,Number,6165
State,Alabama,Non-Hispanic White,2010,Number,3014
State,Alabama,Hispanic or Latino,2010,Number,309
State,Alabama,Black or African American,2010,Number,2744
State,Alabama,Asian and Pacific Islander,2010,Number,85
State,Alabama,American Indian,2010,Number,18
State,Alabama,American Indian,2009,Percent,0.102
State,Alabama,Asian and Pacific Islander,2009,Percent,0.09
State,Alabama,Black or African American,2009,Percent,0.153
State,Alabama,Hispanic or Latino,2009,Percent,0.06
State,Alabama,Non-Hispanic White,2009,Percent,0.084
State,Alabama,Total,2009,Percent,0.103
State,Alabama,American Indian,2013,Percent,0.1
State,Alabama,Asian and Pacific Islander,2013,Percent,0.083
State,Alabama,Black or African American,2013,Percent,0.145
State,Alabama,Hispanic or Latino,2013,Percent,0.065
State,Alabama,Non-Hispanic White,2013,Percent,0.081
State,Alabama,Total,2013,Percent,0.1
State,Alabama,Non-Hispanic White,2008,Number,3211
State,Alabama,Hispanic or Latino,2008,Number,367
State,Alabama,Black or African American,2008,Number,3151
State,Alabama,Asian and Pacific Islander,2008,Number,80
State,Alabama,American Indian,2008,Number,12
State,Alabama,Total,2008,Number,6820
State,Alabama,American Indian,2013,Number,21
State,Alabama,Total,2013,Number,5805
State,Alabama,Non-Hispanic White,2013,Number,2837
State,Alabama,Hispanic or Latino,2013,Number,260
State,Alabama,Black or African American,2013,Number,2616
State,Alabama,Asian and Pacific Islander,2013,Number,81
State,Alabama,American Indian,2008,Percent,S
State,Alabama,Asian and Pacific Islander,2008,Percent,0.087
State,Alabama,Black or African American,2008,Percent,0.158
State,Alabama,Hispanic or Latino,2008,Percent,0.069
State,Alabama,Non-Hispanic White,2008,Percent,0.084
State,Alabama,Total,2008,Percent,0.106
State,Alabama,American Indian,2007,Percent,S
State,Alabama,Asian and Pacific Islander,2007,Percent,0.086
State,Alabama,Black or African American,2007,Percent,0.153
State,Alabama,Hispanic or Latino,2007,Percent,0.07
State,Alabama,Non-Hispanic White,2007,Percent,0.084
State,Alabama,Total,2007,Percent,0.104
State,Alabama,Non-Hispanic White,2006,Number,3251
State,Alabama,Hispanic or Latino,2006,Number,287
State,Alabama,Black or African American,2006,Number,3006
State,Alabama,Asian and Pacific Islander,2006,Number,63
State,Alabama,American Indian,2006,Number,13
State,Alabama,Total,2006,Number,6624
State,Alabama,American Indian,2007,Number,14
State,Alabama,Total,2007,Number,6735
State,Alabama,Non-Hispanic White,2007,Number,3231
State,Alabama,Hispanic or Latino,2007,Number,376
State,Alabama,Black or African American,2007,Number,3032
State,Alabama,Asian and Pacific Islander,2007,Number,81
State,Alabama,American Indian,2006,Percent,S
State,Alabama,Asian and Pacific Islander,2006,Percent,0.076
State,Alabama,Black or African American,2006,Percent,0.155
State,Alabama,Hispanic or Latino,2006,Percent,0.061
State,Alabama,Non-Hispanic White,2006,Percent,0.085
State,Alabama,Total,2006,Percent,0.105
State,Alabama,American Indian,2005,Percent,S
State,Alabama,Asian and Pacific Islander,2005,Percent,0.07
State,Alabama,Black or African American,2005,Percent,0.155
State,Alabama,Hispanic or Latino,2005,Percent,0.072
State,Alabama,Non-Hispanic White,2005,Percent,0.088
State,Alabama,Total,2005,Percent,0.107
State,Alabama,Total,2004,Number,6201
State,Alabama,Non-Hispanic White,2004,Number,3167
State,Alabama,Hispanic or Latino,2004,Number,229
State,Alabama,Black or African American,2004,Number,2714
State,Alabama,Asian and Pacific Islander,2004,Number,72
State,Alabama,American Indian,2004,Number,23
State,Alabama,American Indian,2005,Number,14
State,Alabama,Total,2005,Number,6429
State,Alabama,Non-Hispanic White,2005,Number,3262
State,Alabama,Hispanic or Latino,2005,Number,288
State,Alabama,Black or African American,2005,Number,2806
State,Alabama,Asian and Pacific Islander,2005,Number,61
State,Alabama,American Indian,2004,Percent,0.128
State,Alabama,Asian and Pacific Islander,2004,Percent,0.094
State,Alabama,Black or African American,2004,Percent,0.15
State,Alabama,Hispanic or Latino,2004,Percent,0.068
State,Alabama,Non-Hispanic White,2004,Percent,0.085
State,Alabama,Total,2004,Percent,0.104
State,Alabama,American Indian,2003,Percent,N.A.
State,Alabama,Asian and Pacific Islander,2003,Percent,N.A.
State,Alabama,Black or African American,2003,Percent,N.A.
State,Alabama,Hispanic or Latino,2003,Percent,N.A.
State,Alabama,Non-Hispanic White,2003,Percent,N.A.
State,Alabama,Total,2003,Percent,0.1
State,Alabama,American Indian,2002,Percent,N.A.
State,Alabama,Asian and Pacific Islander,2002,Percent,N.A.
State,Alabama,Black or African American,2002,Percent,N.A.
State,Alabama,Hispanic or Latino,2002,Percent,N.A.
State,Alabama,Non-Hispanic White,2002,Percent,N.A.
State,Alabama,Total,2002,Percent,0.099
State,Alabama,American Indian,2001,Percent,N.A.
State,Alabama,Asian and Pacific Islander,2001,Percent,N.A.
State,Alabama,Black or African American,2001,Percent,N.A.
State,Alabama,Hispanic or Latino,2001,Percent,N.A.
State,Alabama,Non-Hispanic White,2001,Percent,N.A.
State,Alabama,Total,2001,Percent,0.096
State,Alabama,American Indian,2000,Percent,N.A.
State,Alabama,Asian and Pacific Islander,2000,Percent,N.A.
State,Alabama,Black or African American,2000,Percent,N.A.
State,Alabama,Hispanic or Latino,2000,Percent,N.A.
State,Alabama,Non-Hispanic White,2000,Percent,N.A.
State,Alabama,Total,2000,Percent,0.097
State,Alabama,American Indian,1999,Percent,N.A.
State,Alabama,Asian and Pacific Islander,1999,Percent,N.A.
State,Alabama,Black or African American,1999,Percent,N.A.
State,Alabama,Hispanic or Latino,1999,Percent,N.A.
State,Alabama,Non-Hispanic White,1999,Percent,N.A.
State,Alabama,Total,1999,Percent,0.093
State,Alaska,American Indian,1999,Percent,N.A.
State,Alaska,Asian and Pacific Islander,1999,Percent,N.A.
State,Alaska,Black or African American,1999,Percent,N.A.
State,Alaska,Hispanic or Latino,1999,Percent,N.A.
State,Alaska,Non-Hispanic White,1999,Percent,N.A.
State,Alaska,Total,1999,Percent,0.058
State,Alaska,American Indian,2000,Percent,N.A.
State,Alaska,Asian and Pacific Islander,2000,Percent,N.A.
State,Alaska,Black or African American,2000,Percent,N.A.
State,Alaska,Hispanic or Latino,2000,Percent,N.A.
State,Alaska,Non-Hispanic White,2000,Percent,N.A.
State,Alaska,Total,2000,Percent,0.056
State,Alaska,American Indian,2001,Percent,N.A.
State,Alaska,Asian and Pacific Islander,2001,Percent,N.A.
State,Alaska,Black or African American,2001,Percent,N.A.
State,Alaska,Hispanic or Latino,2001,Percent,N.A.
State,Alaska,Non-Hispanic White,2001,Percent,N.A.
State,Alaska,Total,2001,Percent,0.057
State,Alaska,American Indian,2002,Percent,N.A.
State,Alaska,Asian and Pacific Islander,2002,Percent,N.A.
State,Alaska,Black or African American,2002,Percent,N.A.
State,Alaska,Hispanic or Latino,2002,Percent,N.A.
State,Alaska,Non-Hispanic White,2002,Percent,N.A.
State,Alaska,Total,2002,Percent,0.058
State,Alaska,American Indian,2003,Percent,N.A.
State,Alaska,Asian and Pacific Islander,2003,Percent,N.A.
State,Alaska,Black or African American,2003,Percent,N.A.
State,Alaska,Hispanic or Latino,2003,Percent,N.A.
State,Alaska,Non-Hispanic White,2003,Percent,N.A.
State,Alaska,Total,2003,Percent,0.06
State,Alaska,American Indian,2004,Percent,0.061
State,Alaska,Asian and Pacific Islander,2004,Percent,0.067
State,Alaska,Black or African American,2004,Percent,0.108
State,Alaska,Hispanic or Latino,2004,Percent,0.054
State,Alaska,Non-Hispanic White,2004,Percent,0.05
State,Alaska,Total,2004,Percent,0.06
State,Alaska,Non-Hispanic White,2005,Number,339
State,Alaska,Hispanic or Latino,2005,Number,42
State,Alaska,Black or African American,2005,Number,59
State,Alaska,Asian and Pacific Islander,2005,Number,58
State,Alaska,American Indian,2005,Number,143
State,Alaska,Total,2005,Number,635
State,Alaska,Total,2004,Number,618
State,Alaska,Non-Hispanic White,2004,Number,259
State,Alaska,Hispanic or Latino,2004,Number,47
State,Alaska,Black or African American,2004,Number,43
State,Alaska,Asian and Pacific Islander,2004,Number,51
State,Alaska,American Indian,2004,Number,159
State,Alaska,American Indian,2005,Percent,0.053
State,Alaska,Asian and Pacific Islander,2005,Percent,0.075
State,Alaska,Black or African American,2005,Percent,0.14
State,Alaska,Hispanic or Latino,2005,Percent,0.054
State,Alaska,Non-Hispanic White,2005,Percent,0.057
State,Alaska,Total,2005,Percent,0.061
State,Alaska,American Indian,2006,Percent,0.052
State,Alaska,Asian and Pacific Islander,2006,Percent,0.068
State,Alaska,Black or African American,2006,Percent,0.092
State,Alaska,Hispanic or Latino,2006,Percent,0.049
State,Alaska,Non-Hispanic White,2006,Percent,0.06
State,Alaska,Total,2006,Percent,0.06
State,Alaska,Total,2007,Number,623
State,Alaska,Non-Hispanic White,2007,Number,353
State,Alaska,Hispanic or Latino,2007,Number,43
State,Alaska,Black or African American,2007,Number,50
State,Alaska,Asian and Pacific Islander,2007,Number,46
State,Alaska,American Indian,2007,Number,135
State,Alaska,American Indian,2006,Number,142
State,Alaska,Total,2006,Number,654
State,Alaska,Non-Hispanic White,2006,Number,377
State,Alaska,Hispanic or Latino,2006,Number,37
State,Alaska,Black or African American,2006,Number,40
State,Alaska,Asian and Pacific Islander,2006,Number,61
State,Alaska,American Indian,2008,Percent,0.066
State,Alaska,Asian and Pacific Islander,2008,Percent,0.066
State,Alaska,Black or African American,2008,Percent,0.116
State,Alaska,Hispanic or Latino,2008,Percent,0.086
State,Alaska,Non-Hispanic White,2008,Percent,0.05
State,Alaska,Total,2008,Percent,0.06
State,Alaska,American Indian,2007,Percent,0.049
State,Alaska,Asian and Pacific Islander,2007,Percent,0.054
State,Alaska,Black or African American,2007,Percent,0.106
State,Alaska,Hispanic or Latino,2007,Percent,0.062
State,Alaska,Non-Hispanic White,2007,Percent,0.056
State,Alaska,Total,2007,Percent,0.057
State,Alaska,American Indian,2008,Number,191
State,Alaska,Total,2008,Number,680
State,Alaska,Non-Hispanic White,2008,Number,321
State,Alaska,Hispanic or Latino,2008,Number,56
State,Alaska,Black or African American,2008,Number,50
State,Alaska,Asian and Pacific Islander,2008,Number,63
State,Alaska,Non-Hispanic White,2013,Number,367
State,Alaska,Hispanic or Latino,2013,Number,56
State,Alaska,Black or African American,2013,Number,37
State,Alaska,Asian and Pacific Islander,2013,Number,69
State,Alaska,American Indian,2013,Number,137
State,Alaska,Total,2013,Number,658
State,Alaska,American Indian,2013,Percent,0.056
State,Alaska,Asian and Pacific Islander,2013,Percent,0.066
State,Alaska,Black or African American,2013,Percent,0.071
State,Alaska,Hispanic or Latino,2013,Percent,0.066
State,Alaska,Non-Hispanic White,2013,Percent,0.055
State,Alaska,Total,2013,Percent,0.058
State,Alaska,American Indian,2009,Percent,0.063
State,Alaska,Asian and Pacific Islander,2009,Percent,0.059
State,Alaska,Black or African American,2009,Percent,0.13
State,Alaska,Hispanic or Latino,2009,Percent,0.062
State,Alaska,Non-Hispanic White,2009,Percent,0.051
State,Alaska,Total,2009,Percent,0.059
State,Alaska,American Indian,2009,Number,186
State,Alaska,Total,2009,Number,666
State,Alaska,Non-Hispanic White,2009,Number,306
State,Alaska,Hispanic or Latino,2009,Number,43
State,Alaska,Black or African American,2009,Number,62
State,Alaska,Asian and Pacific Islander,2009,Number,56
State,Alaska,American Indian,2010,Percent,0.062
State,Alaska,Asian and Pacific Islander,2010,Percent,0.058
State,Alaska,Black or African American,2010,Percent,0.116
State,Alaska,Hispanic or Latino,2010,Percent,0.067
State,Alaska,Non-Hispanic White,2010,Percent,0.049
State,Alaska,Total,2010,Percent,0.057
State,Alaska,American Indian,2010,Number,181
State,Alaska,Total,2010,Number,651
State,Alaska,Non-Hispanic White,2010,Number,309
State,Alaska,Hispanic or Latino,2010,Number,44
State,Alaska,Black or African American,2010,Number,54
State,Alaska,Asian and Pacific Islander,2010,Number,61
State,Alaska,American Indian,2015,Percent,0.066
State,Alaska,Asian and Pacific Islander,2015,Percent,0.057
State,Alaska,Black or African American,2015,Percent,0.079
State,Alaska,Hispanic or Latino,2015,Percent,0.064
State,Alaska,Non-Hispanic White,2015,Percent,0.052
State,Alaska,Total,2015,Percent,0.058
State,Alaska,American Indian,2015,Number,160
State,Alaska,Asian and Pacific Islander,2015,Number,64
State,Alaska,Black or African American,2015,Number,40
State,Alaska,Hispanic or Latino,2015,Number,52
State,Alaska,Non-Hispanic White,2015,Number,341
State,Alaska,Total,2015,Number,653
State,Alaska,Non-Hispanic White,2011,Number,305
State,Alaska,Hispanic or Latino,2011,Number,53
State,Alaska,Black or African American,2011,Number,45
State,Alaska,Asian and Pacific Islander,2011,Number,92
State,Alaska,American Indian,2011,Number,172
State,Alaska,Total,2011,Number,690
State,Alaska,American Indian,2011,Percent,0.061
State,Alaska,Asian and Pacific Islander,2011,Percent,0.088
State,Alaska,Black or African American,2011,Percent,0.086
State,Alaska,Hispanic or Latino,2011,Percent,0.07
State,Alaska,Non-Hispanic White,2011,Percent,0.05
State,Alaska,Total,2011,Percent,0.06
State,Alaska,American Indian,2012,Percent,0.067
State,Alaska,Asian and Pacific Islander,2012,Percent,0.066
State,Alaska,Black or African American,2012,Percent,0.11
State,Alaska,Hispanic or Latino,2012,Percent,0.055
State,Alaska,Non-Hispanic White,2012,Percent,0.048
State,Alaska,Total,2012,Percent,0.057
State,Alaska,Total,2014,Number,672
State,Alaska,Non-Hispanic White,2014,Number,350
State,Alaska,Hispanic or Latino,2014,Number,37
State,Alaska,Black or African American,2014,Number,51
State,Alaska,Asian and Pacific Islander,2014,Number,80
State,Alaska,American Indian,2014,Number,161
State,Alaska,Total,2012,Number,632
State,Alaska,Non-Hispanic White,2012,Number,277
State,Alaska,Hispanic or Latino,2012,Number,40
State,Alaska,Black or African American,2012,Number,47
State,Alaska,Asian and Pacific Islander,2012,Number,74
State,Alaska,American Indian,2012,Number,187
State,Alaska,American Indian,2014,Percent,0.066
State,Alaska,Asian and Pacific Islander,2014,Percent,0.072
State,Alaska,Black or African American,2014,Percent,0.093
State,Alaska,Hispanic or Latino,2014,Percent,0.044
State,Alaska,Non-Hispanic White,2014,Percent,0.054
State,Alaska,Total,2014,Percent,0.059
State,Arizona,American Indian,2014,Percent,0.064
State,Arizona,Asian and Pacific Islander,2014,Percent,0.08
State,Arizona,Black or African American,2014,Percent,0.115
State,Arizona,Hispanic or Latino,2014,Percent,0.067
State,Arizona,Non-Hispanic White,2014,Percent,0.067
State,Arizona,Total,2014,Percent,0.07
State,Arizona,Total,2012,Number,5997
State,Arizona,Non-Hispanic White,2012,Number,2515
State,Arizona,Hispanic or Latino,2012,Number,2297
State,Arizona,Black or African American,2012,Number,565
State,Arizona,Asian and Pacific Islander,2012,Number,264
State,Arizona,American Indian,2012,Number,399
State,Arizona,Total,2014,Number,6086
State,Arizona,Non-Hispanic White,2014,Number,2577
State,Arizona,Hispanic or Latino,2014,Number,2345
State,Arizona,Black or African American,2014,Number,599
State,Arizona,Asian and Pacific Islander,2014,Number,283
State,Arizona,American Indian,2014,Number,351
State,Arizona,American Indian,2012,Percent,0.068
State,Arizona,Asian and Pacific Islander,2012,Percent,0.072
State,Arizona,Black or African American,2012,Percent,0.116
State,Arizona,Hispanic or Latino,2012,Percent,0.068
State,Arizona,Non-Hispanic White,2012,Percent,0.065
State,Arizona,Total,2012,Percent,0.069
State,Arizona,American Indian,2011,Percent,0.07
State,Arizona,Asian and Pacific Islander,2011,Percent,0.082
State,Arizona,Black or African American,2011,Percent,0.124
State,Arizona,Hispanic or Latino,2011,Percent,0.065
State,Arizona,Non-Hispanic White,2011,Percent,0.067
State,Arizona,Total,2011,Percent,0.07
State,Arizona,American Indian,2011,Number,420
State,Arizona,Total,2011,Number,5988
State,Arizona,Non-Hispanic White,2011,Number,2631
State,Arizona,Hispanic or Latino,2011,Number,2147
State,Arizona,Black or African American,2011,Number,554
State,Arizona,Asian and Pacific Islander,2011,Number,293
State,Arizona,American Indian,2015,Number,389
State,Arizona,Asian and Pacific Islander,2015,Number,312
State,Arizona,Black or African American,2015,Number,607
State,Arizona,Hispanic or Latino,2015,Number,2454
State,Arizona,Non-Hispanic White,2015,Number,2442
State,Arizona,Total,2015,Number,6128
State,Arizona,American Indian,2015,Percent,0.073
